PersonRef,PersonID,PersonSystemId,FirstName,LastName,Other_Details,Title,Occupation,Office,Residence,IsDeleted,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"JO_1461",1461,"JO","Patrick","Hepburn",,,,"bailie","Haddington",0,"Was_formerly_a_bailie_in_Haddington_before_1661,_commissioner_in_1661-2.","jhm","08_20_02_15:25:21","jhm","11_27_03_15:30:27"
"JO_1462",1462,"JO","Patrick","Inglis",,"of_Elvingston",,,"Elvingston",0,"Commissioner_in_1649.","jhm","08_20_02_16:44:55","jhm","12_01_03_10:38:43"
"JO_1463",1463,"JO","William","Baillie",,"Laird_of_Lamington",,,"Lamington",0,"Commissioner_in_1649._May_be_the_same_as_or_related_to_JO_538.","jhm","08_20_02_16:45:46","jhm","01_22_04_14:25:30"
"JO_1464",1464,"JO","John","Cockburn","also_recorded_as_bailie_of_Haddington","Mr_of_Clerkington",,"provost","Haddington",0,"Involved_in_cases_in_1612,_1630,_1635_and_1649._This_may_have_been_more_than_one_person_(?father_and_son).","jhm","08_20_02_16:47:12","jhm","01_07_04_11:05:40"
"JO_1480",1480,"JO","Alexander","Gordon",,"of_Earlston",,,"Earlston,_Kirkcudbright",0,"Involved_in_1628,_1630_and_1642.","jhm","08_26_02_14:29:44","jhm","11_25_03_12:43:06"
"JO_1481",1481,"JO","John","Gordon",,"of_Ardwell",,,"Ardwell",0,"Commissioner_in_1628.","jhm","08_26_02_14:30:45","jhm","11_25_03_12:54:55"
"JO_1482",1482,"JO","John","Stewart",,"Mr","minister",,"Kingarth",0,"Involved_in_cases_on_Bute_in_1662._Minister_at_Kingarth_1665-82_and_1691-1703.","jhm","08_27_02_09:09:46","jhm","12_15_03_14:16:14"
"JO_1483",1483,"JO","James","Stewart",,"Mr",,,,0,"Involved_with_cases_on_Bute_in_1662.","jhm","08_27_02_09:11:26","jhm","12_15_03_13:56:37"
"JO_1484",1484,"JO","James","Stewart",,"of_Auchinleck",,,"Auchinleck",0,"Involved_with_cases_on_Bute_in_1662.","jhm","08_27_02_09:13:17","jhm","12_15_03_13:57:35"
"JO_1485",1485,"JO","David","Ramsay",,"Major",,,,0,"Involved_in_1662_cases_on_Bute.","jhm","08_27_02_09:27:20","jhm","12_12_03_09:58:00"
"JO_1486",1486,"JO","Walter","Stewart",,,,"bailie",,0,"Involved_in_cases_on_Bute_in_1662.","jhm","08_27_02_09:27:59","jhm","12_15_03_15:01:11"
"JO_1487",1487,"JO","Alexander","MacIntyre",,,,,,0,"Involved_in_1662_case_on_Bute.","jhm","08_27_02_09:59:01","jhm","01_22_04_11:24:47"
"JO_1488",1488,"JO","Ninian","Allan",,,,,,0,"Involved_in_1662_trials_on_Bute.","jhm","08_27_02_10:08:27","jhm","11_12_03_14:33:36"
"JO_1489",1489,"JO","Duncan","Mconlea",,,,"former_bailie","Rothesay",0,"Involved_in_1662_case_on_Bute.","jhm","08_27_02_10:24:04","jhm","12_02_03_11:29:56"
"JO_1490",1490,"JO","Robert","Stewart",,,,,,0,"Involved_with_case_in_1673.","jhm","08_27_02_10:32:25","jhm","12_15_03_14:58:59"
"JO_1491",1491,"JO","John","Campbell",,,,,,0,"Involved_in_1662_cases_on_Bute.","jhm","08_27_02_10:33:47","jhm","11_20_03_10:32:32"
"JO_1492",1492,"JO","Robert","Wallace",,,,,,0,"Involved_in_1662_case_on_Bute.","jhm","08_27_02_10:35:18","jhm","12_18_03_14:41:06"
"JO_1493",1493,"JO","Thomas","MacKinlay",,,,,,0,"Involved_in_1662_case_on_Bute.","jhm","08_27_02_10:35:42","jhm","12_02_03_11:10:10"
"JO_1494",1494,"JO","Donald","MacGilchrist",,,,,,0,"Involved_in_1662_cases_on_Bute.","jhm","08_27_02_10:36:12","jhm","12_02_03_10:41:13"
"JO_1495",1495,"JO","Duncan","MacNicoll",,,,,,0,"Involved_in_1662_case_on_Bute.","jhm","08_27_02_10:36:33","jhm","12_02_03_11:28:47"
"JO_1496",1496,"JO","John","Boyle",,"Mr",,"session_clerk,_Rothesay","Rothesay",0,"Involved_in_Bute_case_in_1662.","jhm","08_27_02_11:34:24","jhm","12_19_03_14:44:05"
"JO_1497",1497,"JO","John","Auld",,"Mr",,"session_clerk","Rothesay",0,"Involved_in_Bute_case_in_1662.","jhm","08_27_02_11:34:53","jhm","11_12_03_15:08:22"
"JO_1498",1498,"JO","John","MacIlverie",,,,,"Dalavich",0,"Involved_in_case_in_1677_","jhm","08_27_02_13:42:00","jhm","12_02_03_10:47:49"
"JO_1499",1499,"JO","John","Gray",,,,"burgess","Rothesay",0,"Involved_in_1662_case_on_Bute.","jhm","08_27_02_14:00:39","jhm","11_27_03_10:45:18"
"JO_1500",1500,"JO","Ninian","Ker",,,,"bailie","Rothesay",0,"Involved_in_1662_case.","jhm","08_27_02_14:01:53","jhm","01_22_04_10:41:20"
"JO_1501",1501,"JO","John","Kelburn",,"elder",,"burgess","Rothesay",0,"Involved_in_1662_case._Note:_elder_taken_to_mean_title_rather_than_kirk_office.","jhm","08_27_02_14:02:36","jhm","12_01_03_14:24:44"
"JO_1502",1502,"JO","John","Kelburn",,"younger",,"burgess","Rothesay",0,"Involved_in_1662_case.","jhm","08_27_02_14:03:12","jhm","12_01_03_14:25:13"
"JO_1503",1503,"JO","Robert","Beith",,,,"burgess","Rothesay",0,"Involved_in_1662_case_on_Bute.","jhm","08_27_02_14:04:12","jhm","12_19_03_14:36:04"
"JO_1504",1504,"JO","Archibald","Glass",,,,"burgess","Rothesay",0,"Involved_in_1662_case.","jhm","08_27_02_14:04:45","jhm","11_25_03_12:36:41"
"JO_1505",1505,"JO","William","Campbell",,"Major",,,,0,"Involved_in_1662_cases_on_Bute.","jhm","08_27_02_14:05:42","jhm","11_20_03_10:36:30"
"JO_1506",1506,"JO","Archibald","Beith",,"Mr",,,,0,"Involved_in_1662_case_on_Bute.","jhm","08_27_02_14:06:11","jhm","12_19_03_14:36:13"
"JO_1507",1507,"JO","Peter","Gray",,,,,,0,"Involved_in_1662_case_on_Bute.","jhm","08_27_02_14:06:52","jhm","11_27_03_10:45:55"
"JO_1508",1508,"JO","Alister","MacTyre",,,,,,0,"Involved_in_1662_case_on_Bute.","jhm","08_27_02_14:07:23","jhm","01_22_04_11:37:33"
"JO_1509",1509,"JO","James","MacNiven",,,,,,0,"Involved_in_1662_case_on_Bute.","jhm","08_27_02_14:07:41","jhm","12_02_03_11:29:09"
"JO_1510",1510,"JO","William","Gillespie",,,,,,0,"Involved_in_1662_case_on_Bute.","jhm","08_27_02_14:08:10","jhm","11_25_03_12:35:49"
"JO_1511",1511,"JO","Archibald","Stewart",,,,"provost",,0,"Involved_in_1662_case_on_Bute._?provost_of_Bute.","jhm","08_27_02_14:08:38","jhm","01_22_04_14:05:23"
"JO_1512",1512,"JO","Colin","Stewart",,,,"burgess","Rothesay",0,"Involved_in_case_on_Bute_in_1662.","jhm","08_27_02_14:09:07","jhm","12_15_03_12:39:21"
"JO_1513",1513,"JO","Neill","MacNeill",,,,,,0,"Involved_in_1662_case_on_Bute.","jhm","08_28_02_10:05:30","jhm","12_02_03_11:28:24"
"JO_1514",1514,"JO","Duncan","MacAlister",,,,,,0,"Involved_in_case_on_Bute_in_1662.","jhm","08_28_02_10:06:09","jhm","12_02_03_10:22:53"
"JO_1515",1515,"JO","James","Stewart_Adamson",,,,,,0,"Involved_with_case_in_1662_on_Bute.","jhm","08_28_02_10:13:34","jhm","12_15_03_15:09:53"
"JO_1517",1517,"JO","J","Livingston",,"Laird_of_Dunipace",,,"Dunipace",0,"Involved_in_trial_in_1580.","jhm","09_05_02_14:39:30","jhm","12_01_03_16:11:55"
"JO_1739",1739,"JO","Agnes","Ewing",,,,,,0,"Identifier_of_witches_in_Fife_in_1597.","jhm","09_09_02_13:31:35","jhm","11_20_03_16:57:00"
"JO_1740",1740,"JO","Marion","Ewing",,,,,,0,"Noted_as_an_identifier_of_witches_in_Fife_in_1597.","jhm","09_09_02_13:39:49","jhm","11_20_03_16:57:30"
"JO_1741",1741,"JO","Thomas","Hamilton","knight","Sir_of_Monkland","advocate","Lord_Advocate","Monkland",0,"Involved_in_cases_in_1596,_1605,_1609_and_1612._High_state_official._He_started_at_the_bench_in_1592_ad_Lord_Drumcairnie,_then_knighted_and_became_Sir_Thomas_Hamilton_of_Monkland._Also_called_Sir_Thomas_Hamilton_of_Bynnie_in_1609.","jhm","09_09_02_14:47:49","jhm","11_27_03_12:48:19"
"JO_1742",1742,"JO","Robert","Munro",,"of_Fowlis",,,"Fowlis",0,"Involved_in_1577-8,_1589-90.","jhm","09_10_02_09:00:52","jhm","01_22_04_11:49:58"
"JO_1765",1765,"JO","Alexander","Falconer",,"of_Halkerton",,,"Halkerton",0,"Commissioner_in_1577-8_and_also_involved_in_1590.","jhm","09_10_02_12:16:40","jhm","11_25_03_10:02:25"
"JO_1766",1766,"JO","Lachlan","MacIntosh",,"of_Dunachton",,,"Dunachton",0,"Commissioner_in_1577.","jhm","09_10_02_12:18:42","jhm","12_02_03_10:49:39"
"JO_189",189,"JO","Henry","Melis",,,"Lawyer","Procurator_Fiscal",,0,"Involved_in_cases_in_1673.","jhm","06_27_01_12:06:03","jhm","12_02_03_11:33:14"
"JO_190",190,"JO","Colin","Campbell",,"Sir_of_Aberuchill",,"Justice_Depute","Aberuchill",0,"Involved_in_cases_in_1673.","jhm","06_27_01_12:08:09","jhm","11_20_03_10:23:58"
"JO_191",191,"JO","Ninian","Bannatyne",,"younger_of_Kames",,"Justice_Depute","Kames,_Bute",0,"Involved_in_1662_and_1673.","jhm","06_27_01_12:09:27","jhm","11_12_03_15:38:34"
"JO_192",192,"JO","Archibald","Bannatyne",,"of_Lubas",,,"Lubas,_Argyll",0,"Involved_in_1673.","jhm","06_27_01_12:23:42","jhm","11_12_03_15:36:20"
"JO_2",2,"JO","James","Stewart",,,,,,0,"Chancellor_in_Aberdeen_trials_in_1597.","jhm","05_16_01_15:03:30","jhm","12_15_03_14:06:07"
"JO_282",282,"JO","Lucas","Sonsie",,,"Minister",,"Carrington",0,"Also_recorded_as_Sousie._Minister_at_Carrington_1586-1619._Involved_in_case_in_1613_","jhm","07_02_01_10:34:22","jhm","12_15_03_16:46:06"
"JO_283",283,"JO","John","Adamson",,,"minister",,"Liberton",0,"Involved_in_case_in_1613._Minister_at_Liberton_1609-1623_when_appointed_principal_of_Ed_University._Attended_General_Assembly_in_Aberdeen.","jhm","07_02_01_10:37:04","jhm","01_07_04_16:04:33"
"JO_284",284,"JO","William","Knox",,,"minister",,"Cockpen",0,"Involved_in_case_in_1613._Minister_at_Cockpen_from_1592_until_1623.","jhm","07_02_01_10:37:46","jhm","01_22_04_10:43:51"
"JO_285",285,"JO","James","Haistie",,,"minister",,"Temple",0,"Involved_in_case_in_1613._Minister_at_Clerkington,_then_Fala_then_Temple_from_1595-1620.","jhm","07_02_01_10:38:56","jhm","12_01_03_10:29:13"
"JO_286",286,"JO","William","Adinston",,,,,,0,"No_details_about_this_man._Involved_in_case_in_1613.","jhm","07_02_01_10:52:36","jhm","11_12_03_14:16:30"
"JO_287",287,"JO","James","Dundas",,"Sir_of_Arnistoun",,,"Arnistoun",0,"Involved_in_cases_in_1628.","jhm","07_02_01_12:40:45","jhm","11_20_03_16:09:17"
"JO_288",288,"JO","Patrick","Edmistoun",,"Mr",,,,0,"No_residence_given._Possibly_the_same_as_LA_1501_as_both_involved_with_cases_from_Dalkeith_presbytery._Involved_in_cases_in_1628-30.","jhm","07_02_01_12:42:41","jhm","11_20_03_16:31:48"
"JO_290",290,"JO","James","MacGill",,"Sir_of_Cranston",,"Sheriff_Principal_of_Edinburgh","Cranston",0,"Involved_in_cases_in_1628_and_1630.","jhm","07_02_01_16:12:33","jhm","01_22_04_11:23:43"
"JO_292",292,"JO","Archibald","Weddell",,"of_Langside",,,"Langside",0,"Involved_with_cases_in_1628._Possibly_the_same_as_or_related_to_Archibald_Weddell_LA_431_as_they_were_both_involved_with_cases_from_East_Lothian_in_1628.","jhm","07_03_01_09:51:14","jhm","12_18_03_15:02:38"
"JO_293",293,"JO","Thomas","Meggat",,"of_Masterton",,,"Masterton",0,"Also_spelt_Megot._Involved_in_cases_in_1628-9,_1649_and_1661-2.","jhm","07_03_01_09:52:11","jhm","12_02_03_11:32:16"
"JO_295",295,"JO","James","Robertson",,"of_Cranston","minister",,"Cranston",0,"Minister_at_Cranston_1617-1659._General_Assembly_member_1638_and_on_commissions_in_1642_and_1645._Involved_in_cases_and_trials_in_1628-30.","jhm","07_03_01_10:11:02","jhm","01_22_04_12:30:31"
"JO_296",296,"JO","James","Borthwick","son_of_Lord_Borthwick","of_Newbyres",,,"Newbyres",0,"Involved_in_case_in_1628.","jhm","07_03_01_10:12:28","jhm","11_18_03_10:22:06"
"JO_297",297,"JO","Archibald","Tweedale",,"of_Tweedale",,"baillie_of_regality_of_Dalkeith","Langside",0,"Involved_in_case_in_1629.","jhm","07_03_01_12:10:55","jhm","12_18_03_11:13:36"
"JO_298",298,"JO","James","Rig",,"of_Carberry",,,"Carberry",0,"Involved_in_cases_in_1629-30._?related_to_William_Rig_JO_1451.","jhm","07_03_01_12:12:01","jhm","12_12_03_11:32:18"
"JO_299",299,"JO","John","Preston",,"Sir_of_Airdrie",,,"Airdrie",0,"Involved_in_cases_in_1629.","jhm","07_03_01_13:18:54","jhm","01_22_04_12:15:15"
"JO_3",3,"JO","David","Calderwood",,"Mr","minister",,"Pencaitland",0,"Minister_of_Pencaitland_after_1641,_prior_to_that_was_minister_at_Crailing_and_Nisbet_in_Jedburgh_presbytery._Involved_in_investigation_in_1608_and_also_in_1643.","jhm","05_17_01_12:23:54","jhm","11_20_03_10:17:26"
"JO_300",300,"JO","Simon","Ramsay",,"Mr_of_Whitehill",,,"Whitehill",0,"Involved_in_cases_in_1629._Son_was_George_Ramsay_(LA_161)_and_may_also_have_been_related_to_John_Ramsay_(LA_1663).","jhm","07_03_01_13:19:43","jhm","01_22_04_12:23:24"
"JO_301",301,"JO","James","Porteous",,"Mr","minister",,"Borthwick",0,"Involved_in_cases_in_1629,_1649_and_1651._Minister_at_Borthwick_1629-1651.","jhm","07_03_01_13:20:18","jhm","12_12_03_11:22:14"
"JO_302",302,"JO","John","Knox",,"Mr","minister",,"Carrington",0,"Involved_in_cases_in_1629,_1643_and_1661._Minister_at_Carrington_1653-1659.","jhm","07_03_01_13:30:00","jhm","12_01_03_15:07:40"
"JO_303",303,"JO","Thomas","Copland",,"Mr","minister",,"Temple",0,"Also_spelt_Couplan._Involved_in_cases_in_1629-30.","jhm","07_03_01_13:31:01","jhm","11_20_03_12:36:33"
"JO_304",304,"JO",,"Arniston",,"Lady",,,"Arniston",0,"No_first_name._Involved_in_cases_from_1629_-_1630.","jhm","07_03_01_15:19:39","jhm","12_19_03_14:22:02"
"JO_305",305,"JO","Robert","Fairlie",,"Sir_of_Braid",,,"Braid",0,"?also_of_Penicuik._Involved_in_cases_in_1629.","jhm","07_03_01_16:06:34","jhm","11_25_03_10:01:49"
"JO_306",306,"JO",,"Lothian",,"Lady",,,,0,"No_first_name._Involved_in_case_in_1629.","jhm","07_03_01_16:14:38","jhm","12_01_03_16:25:23"
"JO_307",307,"JO","Oliver","Colt",,"Mr","minister",,"Inveresk",0,"Parish_of_Inveresk_also_known_as_Musselburgh._Involved_in_cases_in_1649_and_1661.","jhm","07_05_01_10:08:12","jhm","01_07_04_11:08:10"
"JO_308",308,"JO","John","Logan",,"Mr","minister",,"Fala",0,"Involved_in_cases_in_1649._Was_minister_at_Fala_1618-1674._Member_of_Commission_of_Assembly_in_1643.","jhm","07_05_01_13:02:09","jhm","12_01_03_16:52:08"
"JO_309",309,"JO","Adam","Penman",,"Mr","minister",,"Cockpen",0,"Don_of_William_Penman_(LA_202),_minister_at_Crichton_and_brother_of_Gideon_(JO_310)_also_minister_at_Crichton_who_was_later_accused_of_witchcraft._Involved_in_cases_in_1649.","jhm","07_05_01_13:23:43","jhm","12_05_03_15:11:39"
"JO_310",310,"JO","Gideon","Penman",,"Mr","minister",,"Crichton",0,"Son_of_William_(LA_202),_minister_at_Crichton,_and_brother_of_Adam_(JO_309),_minister_at_Cockpen._Involved_in_cases_in_1649,_1651_and_1661._He_was_later_accused_of_witchcraft_in_1678.","jhm","07_05_01_13:24:39","jhm","12_05_03_15:12:06"
"JO_312",312,"JO","Alexander","Udnye",,"of_Auchlown",,,"Auchlown",0,"Involved_in_case_trial_in_1597.","jhm","07_06_01_14:22:46","jhm","12_18_03_11:43:51"
"JO_313",313,"JO","Thomas","Tilideff",,"Mr","minister",,"Foveran",0,"Involved_in_case_in_1597._Minister_at_Foveran_1582-1629.","jhm","07_06_01_14:24:12","jhm","01_22_04_15:14:50"
"JO_314",314,"JO","Patrick","Findlay",,"of_Newburgh",,"elder","Newburgh",0,"Elder_at_Foveran_church._Involved_in_case_in_1597.","jhm","07_06_01_14:25:26","jhm","01_07_04_12:06:54"
"JO_315",315,"JO","James","Menzies",,"of_Foveran","miller",,"Newmilne,_Foveran",0,"Elder_at_Foveran,_note_this_may_refer_to_title_or_kirk_office._Involved_in_case_in_1597.","jhm","07_06_01_14:26:43","jhm","12_02_03_11:44:40"
"JO_316",316,"JO","Malie","Skene",,,,,,0,"Named_as_a_witch_in_a_case_in_1597.","jhm","07_06_01_14:41:50","jhm","12_15_03_11:27:05"
"JO_317",317,"JO","Archibald","Turner",,"Mr","minister",,"Borthwick",0,"Involved_in_case_in_1649._Minister_at_Borthwick_1648-1657.","jhm","07_09_01_10:13:27","jhm","12_18_03_11:40:56"
"JO_318",318,"JO","James","Wilkie","portioner","of_Auld_Liston",,,"Auld_Liston",0,"Involved_in_case_in_1661.","jhm","07_09_01_15:38:29","jhm","12_18_03_15:53:00"
"JO_319",319,"JO","Isobel","Thomson",,,,,,0,"Complainer_in_case_in_1661.","jhm","07_09_01_15:39:56","jhm","12_17_03_11:16:20"
"JO_320",320,"JO","George","Drummond",,"Laird_of_Carlowrie",,,"Carlowrie",0,"Involved_in_cases_in_1661-2.","jhm","07_09_01_15:44:17","jhm","11_20_03_15:35:21"
"JO_322",322,"JO","Thomas","Haderstone",,,,,"Duddingston",0,"Possibly_from_Duddingston_as_witnessed_confession_of_Duddingston_witches_in_1661.","jhm","07_10_01_10:28:47","jhm","11_27_03_11:43:59"
"JO_323",323,"JO","Thomas","Crichton",,,,,"Duddingston?",0,"May_have_been_from_Duddingston._Involved_in_cases_in_1661.","jhm","07_10_01_10:52:28","jhm","11_20_03_14:02:01"
"JO_324",324,"JO","William","Ker",,,,"Chamberlain_to_Lord_Ker",,0,"Involved_in_case_in_1662.","jhm","07_10_01_13:44:29","jhm","12_01_03_14:44:08"
"JO_325",325,"JO","Adam","Tait",,,,,,0,"Involved_in_case_in_1662.","jhm","07_10_01_13:46:15","jhm","12_17_03_10:37:31"
"JO_326",326,"JO","John","Carse",,,,,,0,"Involved_in_case_in_1662.","jhm","07_10_01_13:47:52","jhm","11_20_03_10:57:51"
"JO_327",327,"JO","Thomas","Lawson",,,,,,0,"Posssibly_from_Duddingston_as_witnessed_confession._Involved_in_1661.","jhm","07_10_01_16:02:36","jhm","12_01_03_15:34:26"
"JO_328",328,"JO","James","Thomson",,,,,,0,"?from_Duddingston._Involved_in_case_in_1661.","jhm","07_10_01_16:11:16","jhm","12_17_03_11:14:16"
"JO_329",329,"JO","Gilbert","Hall",,"Mr","minister",,"Kirkliston",0,"Minister_between_1649_and_1663._Involved_in_cases_in_1648_and_1661.","jhm","07_11_01_12:26:29","jhm","11_27_03_12:11:07"
"JO_330",330,"JO","David","Samuel",,,,"kirk_elder","Kirkliston",0,"Involved_in_case_in_1661._Note:_elder_refers_to_kirk_office_not_title.","jhm","07_11_01_12:30:29","jhm","12_12_03_14:35:25"
"JO_331",331,"JO","Johne","Milne",,,"notary",,,0,"Involved_in_case_in_1661.","jhm","07_11_01_12:39:37","jhm","12_05_03_11:43:58"
"JO_332",332,"JO","John","Barrowman",,,"lawyer_advocate","Justice_Depute_clerk",,0,"Sent_to_Dalkeith_for_Janet_Cock's_trial__in_1661.","jhm","07_11_01_12:54:20","jhm","11_12_03_15:43:44"
"JO_333",333,"JO",,"Dundas",,"Young_Laird_of",,,,0,"Involved_in_case_in_1661._Probably_related_to_Sir_Walter_Dundas_LA_245,_Laird_of_Dundas_elder_LA_1528_and_may_be_the_same_as_or_related_to_Laird_of_Dundas_the_younger_LA_1527.","jhm","07_11_01_13:01:14","jhm","12_19_03_13:18:50"
"JO_368",368,"JO","David","Lindsay",,"of_Kirkliston",,,"Kirkliston",0,"Member_of_the_kirk_session._Involved_in_case_in_1661.","jhm","07_16_01_10:19:51","jhm","12_01_03_16:06:00"
"JO_369",369,"JO","Alexander","Johnston",,,,,,0,"Involved_in_cases_in_1661._From_Linlithgow_area.","jhm","07_16_01_10:57:00","jhm","12_01_03_14:14:38"
"JO_370",370,"JO","Alexander","Reid",,,,,,0,"Involved_in_case_in_1661.","jhm","07_16_01_11:00:31","jhm","12_12_03_10:59:08"
"JO_371",371,"JO","John","Preston","bailie_of_Musselburgh","Mr_of_Whitehill",,"bailie","Whitehill",0,"Commissioner_in_1661_and_1662.","jhm","07_17_01_09:09:58","jhm","12_05_03_16:10:50"
"JO_372",372,"JO","William","Little",,"Mr_of_Overliberton",,,"Liberton",0,"Involved_in_cases_in_1661.","jhm","07_17_01_09:12:00","jhm","12_01_03_16:09:06"
"JO_373",373,"JO","Edward","Edgar",,"of_Peffermill",,,"Edinburgh",0,"Involved_in_cases_in_1661.","jhm","07_17_01_09:13:44","jhm","11_20_03_16:28:19"
"JO_374",374,"JO","James","Fairlie",,"Mr","minister",,"Lasswade",0,"Involved_in_case_in_1661._Minister_1644-1658.","jhm","07_17_01_15:45:51","jhm","01_07_04_16:20:57"
"JO_375",375,"JO","Robert","Carson",,,"minister",,"Newton_Wolmet",0,"Member_of_Commissin_of_Assembly_in_1645._Involved_in_cases_in_1649_and_1661.","jhm","07_17_01_15:47:10","jhm","01_07_04_10:55:52"
"JO_376",376,"JO","Robert","Alison",,,"minister",,"Glencorse",0,"Also_known_as_Glencross._Involved_in_case_in_1661._Minister_1643-1674.","jhm","07_17_01_15:48:17","jhm","01_07_04_16:04:58"
"JO_377",377,"JO","Robert","Mowat",,"Mr","minister",,"Temple",0,"Involved_in_case_in_1661._Minister_at_Temple_1656_and_deprived_in_1662._He_was_later_indulged_and_moved_to_Heriot_in_1669_but_returned_to_Temple_in_1690.","jhm","07_17_01_15:49:57","jhm","01_22_04_13:30:05"
"JO_379",379,"JO","Andrew","Borthwick",,"Mr_of_Sachlan",,,"Sachlan",0,"Also_written_as_Sachuelle_(?)_assume_this_is_the_same_man._Involved_in_cases_in_1649._Place_of_residence_may_be_Sauchland?","jhm","07_18_01_09:30:40","jhm","01_22_04_16:14:20"
"JO_380",380,"JO","Martin","Greenlaw",,"of_Costertoun",,,"Costertoun",0,"Costertoun_may_refer_to_Costerton_House_at_Crichton._Involved_in_cases_in_1661.","jhm","07_18_01_09:31:20","jhm","11_27_03_10:55:29"
"JO_381",381,"JO","James","Scott",,"of_Lochquharrit",,,"Lochquharrit",0,"Also_spelled_Lockwaret._Involved_in_cases_in_1649,_1650_and_1661.","jhm","07_18_01_09:31:45","jhm","12_12_03_14:54:30"
"JO_382",382,"JO","William","Hamilton",,"Mr","minister",,"Cranstoun",0,"Minister_between_1663-79._Involved_in_case_in_1679.","jhm","07_18_01_12:20:56","jhm","11_27_03_12:49:55"
"JO_383",383,"JO","George","Kintore",,"Mr","minister",,"Penicuik",0,"Minister_between_1664-79._Involved_in_case_in_1679.","jhm","07_18_01_12:21:45","jhm","12_01_03_14:51:58"
"JO_384",384,"JO","John","Makmath",,"Mr","minister",,"Lasswade",0,"Minister_between_1670-89,_was_assaulted_by_his_parishoners_a_number_of_times_and_left_fo_England_in_1689._Involved_in_cases_in_1678-9.","jhm","07_18_01_12:27:40","jhm","12_02_03_12:32:17"
"JO_385",385,"JO","Janet","MacDougall",,,,,"Crichton",0,"Gideon_Penman's_servant,_committed_adultery_and_had_child._Involved_in_1679.","jhm","07_18_01_14:32:20","jhm","12_02_03_10:40:00"
"JO_436",436,"JO","Janet","Lyn",,,,,"Glasgow",0,"Mother_of_Elspit_Scot,_Involved_in_case_in_1612.","jhm","07_23_01_12:17:09","jhm","12_01_03_16:35:42"
"JO_437",437,"JO","James","Dougall",,,,,"Glasgow",0,"Taught_Elspit_Scot_charming,_involved_in_1612.","jhm","07_23_01_12:17:48","jhm","11_20_03_15:07:47"
"JO_438",438,"JO","William","Powrie",,"Mr","minister",,"Abercorn",0,"Minister_from_1584-1622._Involved_in_cases_in_1615.","jhm","07_23_01_12:56:00","jhm","12_05_03_16:00:12"
"JO_439",439,"JO","John","Book",,"Mr","minister",,"Kirkliston",0,"Minister_at_Kirkliston_between_1611_and_1646._Involved_in_cases_in_1615_and_1622.","jhm","07_23_01_12:56:46","jhm","11_18_03_10:18:31"
"JO_440",440,"JO","Robert","Cornwall",,"Mr","minister",,"Linlithgow",0,"Minister_between_1597_and_1626._Involved_in_case_in_1615.","jhm","07_23_01_12:57:38","jhm","01_07_04_11:13:52"
"JO_441",441,"JO","George","Inglis",,"Mr","minister",,"Bathgate",0,"At_Bathgate_1595-1618._Involved_in_case_in_1615.","jhm","07_23_01_13:20:44","jhm","12_01_03_10:36:17"
"JO_442",442,"JO","Alexander","Keith",,"Mr","minister",,"Uphall",0,"Minister_from_1598_to_1639._Involved_in_cases_in_1615_and_1622.","jhm","07_23_01_13:21:30","jhm","12_01_03_14:20:40"
"JO_443",443,"JO","Richard","Dickson",,"Mr",,,,0,"from_?Bo'ness._Involved_in_case_in_1632.","jhm","07_23_01_16:23:20","jhm","11_20_03_14:57:30"
"JO_444",444,"JO","Ephraim","Melville",,"Mr","minister",,"Queensferry",0,"Minister_at_Queensferry_1641-50,_then_moved_to_Linlithgow._A_zealous_prosecutor_of_witches_he_made_one_man_pay_for_his_wife's_execution_by_burning._Involved_in_cases_in_1643-4.","jhm","07_24_01_12:25:37","jhm","01_22_04_11:38:09"
"JO_445",445,"JO","Hugh","Kennedy",,"Mr","minister",,"Easter_Inch,_Bathgate",0,"Raised_by_Samuel_Rutherford,_minister_at_Calder_1640s._Involved_in_cases_in_1652_and_1658-9.","jhm","07_24_01_12:45:03","jhm","01_22_04_10:34:36"
"JO_446",446,"JO","Robert","Row",,"Mr","minister",,"Abercorn",0,"Involved_in_cases_in_1644_and_1648._Minister_at_Abercorn_1642-1661._Was_Commissioner_of_Assembly_in_1648,_joined_Protesters_and_was_confined_in_1660.","jhm","07_24_01_15:05:47","jhm","01_22_04_15:17:20"
"JO_447",447,"JO","John","Dunlop",,"Mr","minister",,"East_Calder",0,"Involved_in_case_in_1644._Minister_1642-1648.","jhm","07_24_01_15:20:59","jhm","01_07_04_16:18:16"
"JO_448",448,"JO","Andrew","Keir",,"Mr","minister",,"Carriden",0,"Minister_at_Carriden_1621-1650._Involved_in_cases_in_1644_and_1648.","jhm","07_24_01_15:25:05","jhm","12_01_03_14:18:35"
"JO_449",449,"JO","Thomas","Spittal",,"Mr","minister",,"Falkirk",0,"Minister_at_Falkirk,_1626-46._Involved_in_case_in_1644.","jhm","07_24_01_15:29:27","jhm","12_15_03_12:15:46"
"JO_451",451,"JO","David","Drummond",,"Mr","minister",,"Linlithgow",0,"Minister_at_Linlithgow_from_1646._Involved_in_case_in_1648._Not_the_same_as_LA_1323.","jhm","07_25_01_10:01:34","jhm","01_07_04_11:48:20"
"JO_452",452,"JO","William","Tweedie",,"Mr","minister",,"Slamannan",0,"Minister_at_Slamannan_1647-58._Involved_in_case_in_1648.","jhm","07_25_01_10:02:54","jhm","12_18_03_11:14:07"
