AccusedRef,AccusedSystemId,AccusedID,FirstName,LastName,M_Firstname,M_Surname,Alias,Patronymic,DesTitle,Sex,Age,Age_estcareer,Age_estchild,Res_settlement,Res_parish,Res_presbytery,Res_county,Res_burgh,Res_NGR_Letters,Res_NGR_Easting,Res_NGR_Northing,Ethnic_origin,MaritalStatus,SocioecStatus,Occupation,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"A_EGD_1813","EGD",1813,"Janet","Galloway","Janet","Galloway",,,,"Female",,0,0,,"P_ST_1083","Forfar","Forfar",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_14:09:59"
"A_EGD_1814","EGD",1814,"Unknown","Finlayson","Unknown","Finlayson",,,,"Female",,0,0,,,"Fordoun","Forfar",,,,,,,,,"The_reference_mentions_the_presbytery_of_Fordoun,_although_the_minister_involved_was_from_Forfar_presbytery_at_the_time,_and_moved_to_Fordoun_later._It_is_difficult_to_know_which_presbytery_to_use","SMD","05_15_01_11:06:51","jhm","11_21_02_13:51:34"
"A_EGD_1819","EGD",1819,"Thomas","Humbell","Thomas","Humble",,,,"Male",,0,0,,"P_ST_504","Brechin","Forfar",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_14:15:22"
"A_EGD_182","EGD",182,"Issobel","Mitchell","Isobel","Mitchell",,,,"Female",,0,0,,"P_ST_962","Dunfermline","Fife","Inverkeithing","NT",130,829,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:34:35"
"A_EGD_1820","EGD",1820,"Issobel","Fordell","Isobel","Fordell",,,,"Female",,0,0,,"P_ST_504","Brechin","Forfar",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_14:15:51"
"A_EGD_1821","EGD",1821,"Margaret","Merchant","Margaret","Merchant","Marat",,,"Female",,0,0,"Balfield_of_Cluthie","P_ST_1218","Banff","Forfar",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_14:16:02"
"A_EGD_1822","EGD",1822,"Marjorie","Paterson","Marjory","Paterson",,,,"Female",,0,0,,"P_ST_1274","Dalkeith","Edinburgh",,,,,,,,,"few_details","SMD","05_15_01_11:06:51","jhm","10_22_02_14:21:18"
"A_EGD_1823","EGD",1823,"Agnes","Gaston","Agnes","Gaston",,,,"Female",,0,0,,"P_ST_1232","Selkirk","Roxburgh",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_14:23:48"
"A_EGD_1824","EGD",1824,"Jonet","Birnie","Janet","Birnie",,,,"Female",,0,0,,"P_ST_651","Lanark","Lanark",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_14:24:18"
"A_EGD_1825","EGD",1825,"Finwell","Hyndman","Finwell","Hyndman",,,,"Female",,0,0,,"P_ST_1064","Dunoon","Bute",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_14:24:58"
"A_EGD_1826","EGD",1826,"Catharin","Walker","Katherine","Walker",,,,"Female",,0,0,,"P_ST_504","Brechin","Forfar",,,,,,"Married",,,"The_accused_may_have_been_from_Brechin_presbytery_as_details_recorded_in_presbytery_book,_but_the_minister_and_other_indwellers_from_Lawrencekirk_in_Fordoun_presbytery_also_involved.","SMD","05_15_01_11:06:51","jhm","10_22_02_14:28:29"
"A_EGD_1827","EGD",1827,"Catharin","Skair","Katherine","Skair",,,,"Female",41,1,0,,,"Brechin","Forfar",,,,,,"Married",,,"Witness_claimed_that_she_harmed_him_16_years_before,_16+25=41.","SMD","05_15_01_11:06:51","jhm","10_22_02_14:31:38"
"A_EGD_1828","EGD",1828,"Janet","Anderson","Janet","Anderson",,,,"Female",,0,0,,"P_ST_425","Dunfermline","Fife",,"NJ",883,645,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_14:34:38"
"A_EGD_1829","EGD",1829,"Maggy","Osborne","Margaret","Osborne",,,,"Female",,0,0,,,,"Ayr",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_14:35:13"
"A_EGD_1830","EGD",1830,"Thomas","Shanks","Thomas","Shanks","'Willie'",,,"Male",,0,0,,"P_ST_1332","Peebles","Peebles",,,,,,,"Middling","Weaver","First_appeared_in_front_of_the_presbytery_on_23_3_1643_on_charges_of_charming_and_witchcraft.","SMD","05_15_01_11:06:51","jhm","11_13_02_14:22:13"
"A_EGD_1831","EGD",1831,"Marioun","Robiesone","Marion","Robeson",,,,"Female",,0,0,,"P_ST_1096","Peebles","Peebles",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_14:40:22"
"A_EGD_1832","EGD",1832,"Marioun","Twedy",,"Tweedie",,,,"Female",,0,0,,"P_ST_1096","Peebles","Peebles",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_14:57:41"
"A_EGD_1833","EGD",1833,"Bessie","Forrest","Elizabeth","Forest",,,,"Female",,0,0,"Skirling","P_ST_1332","Biggar","Peebles",,,,,,,,,"Named_as_witch_by_Janet_Coutts","SMD","05_15_01_11:06:51","jhm","10_22_02_15:03:27"
"A_EGD_1834","EGD",1834,"Marion","Mackbeath","Marion","Macbeth",,,,"Female",,0,0,,"P_ST_609","Caithness","Caithness",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_15:08:14"
"A_EGD_1835","EGD",1835,"Margaret","Cant","Margaret","Cant",,,,"Female",,0,0,,"P_ST_425","Dunfermline","Fife",,"NJ",883,645,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_15:10:11"
"A_EGD_1836","EGD",1836,"Susanna","Alexander","Susanna","Alexander",,,,"Female",,0,0,,"P_ST_425","Dunfermline","Fife",,"NJ",883,645,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_15:12:44"
"A_EGD_1837","EGD",1837,"Jonet","Bell","Janet","Bell",,,,"Female",,0,0,,"P_ST_425","Dunfermline","Fife",,"NJ",883,645,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_15:17:37"
"A_EGD_1838","EGD",1838,"Janet","Groat","Janet","Gorat",,,,"Female",,0,0,,"P_ST_609","Caithness","Caithness",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_15:19:37"
"A_EGD_1839","EGD",1839,"William","Barton","William","Barton",,,,"Male",,0,0,,"P_ST_1081","Linlithgow","Linlithgow",,,,,,"Married",,,"Recorded_as_warlock_in_presbytery_records,_and_later_as_a_thief.
His_wife_was_also_accused,_see_C_EGD_1870.","SMD","05_15_01_11:06:51","jhm","10_22_02_15:22:03"
"A_EGD_184","EGD",184,"Barbara","Chattow","Barbara","Chatto",,,,"Female",,0,0,"Caldsyde","P_ST_962","Dunfermline","Fife","Inverkeithing","NT",130,829,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_11:03:19"
"A_EGD_1840","EGD",1840,"Elspeth","Craiche","Elizabeth","Craigie",,,,"Female",,0,0,,"P_ST_629","Dunfermline","Fife","Culross",,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_15:24:30"
"A_EGD_1842","EGD",1842,"Janet","Scott","Janet","Scott",,,,"Female",,0,0,,,,"Dumfries",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_15:24:39"
"A_EGD_1843","EGD",1843,"Samwell","Blak","Samuel","Black",,,,"Male",,0,0,,,,"Dumfries",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_15:24:53"
"A_EGD_1844","EGD",1844,"Janet","Clark","Janet","Clark",,,,"Female",,0,0,"Irongray","P_ST_715","Dumfries","Dumfries",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_15:25:16"
"A_EGD_1846","EGD",1846,"Effie","Rosie","Euphemia","Rossie",,,,"Female",,0,0,,"P_ST_555","Kirkwall","Orkney",,,,,,,,,"She_was_delated_for_witchcraft_in_Stroma._Tried_before_the_sesson_of_Burray.","SMD","05_15_01_11:06:51","jhm","10_22_02_15:33:51"
"A_EGD_1847","EGD",1847,"John","Wauch","John","Waugh",,,,"Male",,0,0,,"P_ST_1154","Linlithgow","Linlithgow","Linlithgow",,,,,,,,,"SMD","05_15_01_11:06:51","jhm","12_06_02_12:34:13"
"A_EGD_1848","EGD",1848,"Jonet","Anderson","Janet","Anderson",,,,"Female",,0,0,,,,"Edinburgh",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_15:38:29"
"A_EGD_1849","EGD",1849,"Bessie","Stevenson","Elizabeth","Stevenson",,,,"Female",,0,0,,,,"Dumfries",,,,,,,,,"I_am_not_sure_why_she_was_recorded_as_from_Dumfries_as_I_could_not_see_any_reference_to_it._She_was_noted_as_having_been_executed.","SMD","05_15_01_11:06:51","jhm","10_22_02_15:38:55"
"A_EGD_185","EGD",185,"Hellane","Stanhous","Helen","Stenhouse",,,,"Female",,0,0,,"P_ST_962","Dunfermline","Fife","Inverkeithing","NT",130,829,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_11:16:30"
"A_EGD_1850","EGD",1850,"John","Tailzour","John","Taylor",,,,"Male",,0,0,"Oathlaw","P_ST_1304","Forfar","Forfar",,"NO",470,560,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_15:41:05"
"A_EGD_1851","EGD",1851,"Janet","Huit","Janet","Hewat",,,,"Female",,0,0,,,,,,,,,,,,,"Larner_recorded_her_as_being_from_Oath_?where_this_is,_is_it_the_same_as_Oathlaw_parish?","SMD","05_15_01_11:06:51","jhm","10_22_02_15:43:00"
"A_EGD_1853","EGD",1853,"Margaret","Duff","Margaret","Duff",,,,"Female",,0,0,,,,"Inverness",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_15:45:35"
"A_EGD_1854","EGD",1854,"Christian","Watson","Christine","Watson",,,,"Female",,0,0,,"P_ST_1277","Haddington","Haddington","North_Berwick",,,,,"Married",,,"Larner_recorded_this_person_from_Dalyell_as_Adam_Gillies's_wife._In_the_local_church_records_her_name_was_recorded_as_Christian_Watson.","SMD","05_15_01_11:06:51","jhm","10_22_02_15:48:00"
"A_EGD_1855","EGD",1855,"Adam","Gillies","Adam","Gillies",,,,"Male",,0,0,,"P_ST_1277","Haddington","Haddington","North_Berwick",,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_22_02_15:48:27"
"A_EGD_1856","EGD",1856,"Jonat_nein_giblie","Gow","Janet","Gow",,,,"Female",,0,0,,"P_ST_1495","Tain","Ross",,"NH",779,820,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_09:30:41"
"A_EGD_1858","EGD",1858,"Margaret","Tamsone","Margaret","Thomson",,,,"Female",,0,0,,"P_ST_815","Elgin","Elgin",,,,,,,,,,"SMD","05_15_01_11:06:51","LEM","11_12_02_16:59:24"
"A_EGD_1859","EGD",1859,"Janet","Finnie","Janet","Finnie",,,,"Female",,0,0,"Paisley","P_ST_1328","Paisley","Renfrew",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","11_13_02_12:07:15"
"A_EGD_186","EGD",186,"Emie","Angus","Amy","Agnus",,,,"Female",,0,0,,"P_ST_962","Dunfermline","Fife","Inverkeithing","NT",130,829,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_12:05:39"
"A_EGD_1860","EGD",1860,"James","McPhee","James","MacPhee",,,,"Male",,0,0,,"P_ST_1064","Dunoon","Bute",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_09:33:52"
"A_EGD_1861","EGD",1861,"Janet","Conochie","Janet","Connochie",,,,"Female",,0,0,,"P_ST_575","Linlithgow","Linlithgow",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_09:34:56"
"A_EGD_1862","EGD",1862,"Meggie","Cowie","Margaret","Cowie",,,,"Female",,0,0,,"P_ST_1239","Brechin","Forfar","Montrose",,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_09:35:13"
"A_EGD_1863","EGD",1863,"Unknown","Goodaile","Unknown","Goodal",,,,"Female",,0,0,"Carron",,,"Stirling",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","LEM","12_06_02_12:11:57"
"A_EGD_1864","EGD",1864,"Margaret","Fleming","Margaret","Fleming",,,,"Female",,0,0,"longerth",,,"Kirkcudbright",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_09:38:14"
"A_EGD_1865","EGD",1865,"Janet","Lyon","Janet","Lyne",,,,"Female",,0,0,,"P_ST_971","Greenock","Renfrew",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_09:42:31"
"A_EGD_1866","EGD",1866,"Elspet","Smith","Elizabeth","Smith",,,,"Female",,0,0,,"P_ST_943","Cairston","Orkney",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_09:43:32"
"A_EGD_1867","EGD",1867,"Agnes_Mor_Nin_Vick","Eanglaish","Agnes","English",,,,"Female",,0,0,,"P_ST_775","Dingwall","Ross","Dingwall",,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_09:44:09"
"A_EGD_1868","EGD",1868,"Jonet","Drever","Janet","Drever",,,,"Female",,0,0,,,,"Orkney",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_09:44:20"
"A_EGD_1869","EGD",1869,"Geilles","Robertsone","Gillian","Robertson",,,,"Female",50,0,1,,"P_ST_626","St_Andrews","Fife","Crail",,,,,,,,"Recorded_has_having_adult_children_as_her_son_was_married._Age_calculated_as_50_(25+25)","SMD","05_15_01_11:06:51","jhm","10_23_02_09:44:56"
"A_EGD_187","EGD",187,"John","Greve","John","Grieve",,,,"Male",,0,0,,,"Dunfermline","Fife",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_12:18:14"
"A_EGD_1870","EGD",1870,"Isabel","Davidson","Isobel","Davidson",,,,"Female",,0,0,,"P_ST_496","Strathbogie","Aberdeen",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_09:48:34"
"A_EGD_1871","EGD",1871,"John","Macgregor","John","MacGregor",,,,"Male",,0,0,,"P_ST_915","Greenock","Renfrew",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_09:49:04"
"A_EGD_1872","EGD",1872,"Andro","Currie","Andrew","Currie",,,,"Male",,0,0,,"P_ST_714","Dunfermline","Fife","Dunfermline","NT",90,874,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_09:51:06"
"A_EGD_1873","EGD",1873,"Magaret","Douglas","Margaret","Douglas",,,,"Female",,0,0,,"P_ST_714","Dunfermline","Fife","Dunfermline","NT",90,874,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_09:53:40"
"A_EGD_1874","EGD",1874,"Margaret","Kirkwood","Margaret","Kirkwood",,,,"Female",,0,0,,,"Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:05:15"
"A_EGD_1876","EGD",1876,"Margaret","Hamilton_secondus","Margaret","Hamilton",,,,"Female",,0,0,,"P_ST_575","Linlithgow","Linlithgow",,,,,,"Widowed",,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:07:27"
"A_EGD_1877","EGD",1877,"Bessie","Vikker","Elizabeth","Vikker",,,,"Female",,0,0,,"P_ST_575","Linlithgow","Linlithgow",,,,,,"Widowed","Middling",,"Husband_recorded_as_having_been_an_indweller_in_Bo'ness.","SMD","05_15_01_11:06:51","jhm","10_23_02_10:09:32"
"A_EGD_1878","EGD",1878,"William","Craw","William","Craw",,,,"Male",,0,0,,"P_ST_575","Linlithgow","Linlithgow",,,,,,,"Middling",,"recorded_as_indweller_in_Bo'ness","SMD","05_15_01_11:06:51","jhm","10_23_02_10:11:04"
"A_EGD_1879","EGD",1879,"Margaret","Hamilton","Margaret","Hamilton",,,,"Female",,0,0,,"P_ST_575","Linlithgow","Linlithgow",,,,,,"Widowed",,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:12:10"
"A_EGD_188","EGD",188,"Margaret","Greve","Margaret","Grieve",,,,"Female",,0,0,,"P_ST_962","Dunfermline","Fife","Inverkeithing","NT",130,829,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_12:35:28"
"A_EGD_1880","EGD",1880,"Margaret","Pringle","Margaret","Pringle",,,,"Female",,0,0,,"P_ST_575","Linlithgow","Linlithgow",,,,,,"Widowed","Lower",,"Accused's_husband_was_sievewright_-?carpenter.","SMD","05_15_01_11:06:51","LEM","12_05_02_12:23:32"
"A_EGD_1881","EGD",1881,"Annaple","Thomson","Annabel","Thomson",,,,"Female",,0,0,,"P_ST_575","Linlithgow","Linlithgow",,,,,,"Widowed",,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:14:23"
"A_EGD_1882","EGD",1882,"Margaret","Comb",,,,,,"Female",,0,0,,,"Edinburgh","Edinburgh",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","09_04_02_12:24:10"
"A_EGD_1883","EGD",1883,"Ann_Nin","William","Anne","William",,,,"Female",,0,0,,,,,,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:26:58"
"A_EGD_1884","EGD",1884,"Elspeth","Kirkland","Elizabeth","Kirkland",,,,"Female",,0,0,,"P_ST_425","Dunfermline","Fife",,"NJ",883,645,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:27:24"
"A_EGD_1885","EGD",1885,"John","MacQueen","John","MacQueen",,,,"Male",,0,0,,,,"Edinburgh",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:29:13"
"A_EGD_1886","EGD",1886,"Marion","Purdie","Marion","Purdie",,,,"Female",,0,0,,,,"Edinburgh",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:30:04"
"A_EGD_1887","EGD",1887,"Helen","Eliot","Helen","Elliot",,,,"Female",,0,0,,"P_ST_629","Dunfermline","Fife","Culross",,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:30:37"
"A_EGD_1888","EGD",1888,"William","Easone","William","Easson",,,,"Male",,0,0,,"P_ST_483","Dunkeld","Perth",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:30:55"
"A_EGD_1889","EGD",1889,"Janet","Fraser","Janet","Fraser",,,,"Female",,0,0,,"P_ST_615","Penpoint","Dumfries",,,,,,,,,"Recorded_in_presbytery_records_as_having_servants_so_may_either_may_middling_or_lower,_no_other_indication_of_status.","SMD","05_15_01_11:06:51","jhm","10_23_02_10:31:18"
"A_EGD_189","EGD",189,"Bessie","Wilson","Elizabeth","Wilson",,,,"Female",,0,0,"Mustertoun","P_ST_962","Dunfermline","Fife",,"NT",130,829,,,,,"Daughter_was_also_accused.","SMD","05_15_01_11:06:51","jhm","10_23_02_13:33:39"
"A_EGD_1890","EGD",1890,"William","Simpson","William","Simpson",,,,"Male",,0,0,,"P_ST_526","Biggar","Edinburgh",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:33:13"
"A_EGD_1891","EGD",1891,"Marion","Dickson","Marion","Dickson",,,,"Female",,0,0,,,,"Dumfries",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:33:26"
"A_EGD_1892","EGD",1892,"Isobel","Dickson","Isobel","Dickson",,,,"Female",,0,0,,,,"Dumfries",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:33:47"
"A_EGD_1893","EGD",1893,"Marion","Herbertson","Marion","Herbertson",,,,"Female",,0,0,,,,"Dumfries",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:34:13"
"A_EGD_1895","EGD",1895,"Janet","Wodrow","Janet","Woodrow",,,,"Female",,0,0,,"P_ST_970","Paisley","Renfrew",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:37:34"
"A_EGD_1896","EGD",1896,"Elizabeth","Anderson","Elizabeth","Anderson",,,,"Female",17,0,0,"Bowies","P_ST_970","Paisley","Renfrew",,,,,,"Single",,,"Deemed_to_be_too_young_to_be_charged.__I_have_her_from_the_Bowries_of_Inchanand_(Joyce_had_her_from_Bargarran,_Erskine,_Greenock?)","SMD","05_15_01_11:06:51","jhm","10_23_02_10:48:01"
"A_EGD_1897","EGD",1897,"Margaret","Laird","Margaret","Laird",,,,"Female",,0,0,,"P_ST_1054","Greenock","Renfrew",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:54:29"
"A_EGD_1898","EGD",1898,"Marion","Lillie","Marion","Lillie",,,,"Female",,0,0,,"P_ST_1456","Dunbar","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:54:53"
"A_EGD_1899","EGD",1899,"Margaret","Polwart","Margaret","Polwarth",,,,"Female",,0,0,,"P_ST_606","Chirnside","Berwick",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:55:27"
"A_EGD_19","EGD",19,"Eduart","Kynimonth","Edward","Kininmont",,,,"Male",,0,0,"Lowrie",,,"Forfar",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","11_04_02_12:37:15"
"A_EGD_190","EGD",190,"Marjorie","Fergie","Marjory","Fergie",,,,"Female",,0,0,,,"Dunfermline","Fife",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_13:45:56"
"A_EGD_1900","EGD",1900,"Alison","Nisbet","Alison","Nisbet",,,,"Female",,0,0,,"P_ST_606","Chirnside","Berwick",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:55:56"
"A_EGD_1901","EGD",1901,"Jean","Hart","Jean","Hart",,,,"Female",,0,0,,"P_ST_606","Chirnside","Berwick",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:56:39"
"A_EGD_1902","EGD",1902,"Jonnet","Buttar","Janet","Butter",,,,"Female",,0,0,,"P_ST_1036","Dunkeld","Perth",,,,,,,,,,"SMD","05_15_01_11:06:51","LEM","12_06_02_12:22:54"
"A_EGD_1903","EGD",1903,"Ellen","King","Ellen","King",,,,"Female",,0,0,,,,"Shetland",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_10:59:58"
"A_EGD_1904","EGD",1904,"Barbara","Tulloch","Barbara","Tulloch",,,,"Female",,0,0,,,,"Shetland",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_11:00:18"
"A_EGD_1906","EGD",1906,"Margaret","Argyill","Margaret","Argyll",,,,"Female",,0,0,"Sammuelston","P_JO_3539","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","09_26_02_16:39:46"
"A_EGD_1907","EGD",1907,"Margaret","Baptie","Margaret","Baptie",,,,"Female",,0,0,"Sammuelston","P_JO_3539","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","09_26_02_16:33:30"
"A_EGD_1908","EGD",1908,"Margaret","Auchinmoutie","Margaret","Achmuty",,,,"Female",,0,0,,"P_ST_1359","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","09_30_02_15:32:07"
"A_EGD_1909","EGD",1909,"Margaret","Butter","Margaret","Butter",,,,"Female",,0,0,,"P_ST_1359","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","09_30_02_15:30:45"
"A_EGD_191","EGD",191,"Joannet","Smetoune","Janet","Smeaton",,,,"Female",,0,0,,"P_ST_962","Dunfermline","Fife","Inverkeithing","NT",130,829,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_14:04:11"
"A_EGD_1910","EGD",1910,"Bessie","Doughtie","Elizabeth","Doughty",,,,"Female",,0,0,"Fisherrow","P_ST_967","Dalkeith","Edinburgh",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_11:07:34"
"A_EGD_1911","EGD",1911,"Helen","Casse","Helen","Casse",,,,"Female",35,1,0,"Wester_Duddingston","P_ST_773","Edinburgh","Edinburgh",,,,,,"Married",,,"Met_the_devil_ten_years_before_her_trial_-_25+10=35._Recorded_as_being_from_Fisherrow_in_APS.","SMD","05_15_01_11:06:51","jhm","10_23_02_11:08:36"
"A_EGD_1912","EGD",1912,"Robert","Crafford","Robert","Crawford",,,,"Male",,0,0,"Fisherrow","P_ST_967","Dalkeith","Edinburgh",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_11:11:16"
"A_EGD_1913","EGD",1913,"Issobell","Ker","Isobel","Ker",,,,"Female",,0,0,,,"Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","09_30_02_15:40:11"
"A_EGD_1914","EGD",1914,"Katharein","Cowpland","Katherine","Copland",,,,"Female",,0,0,"Sammuelston","P_JO_3539","Haddington","Haddington",,,,,,"Married","Lower",,"Also_recorded_as_Catherine_Coupland","SMD","05_15_01_11:06:51","jhm","09_30_02_15:42:12"
"A_EGD_1916","EGD",1916,"Cristine","Waderstoun","Christine","Waterson",,,,"Female",,0,0,"Sammuelston","P_JO_3539","Haddington","Haddington",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","09_30_02_15:46:53"
"A_EGD_1917","EGD",1917,"Jonnet","Home","Janet","Home",,,,"Female",,0,0,,"P_JO_3539","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","09_30_02_15:49:13"
"A_EGD_1918","EGD",1918,"Agnes","Cuthbertsone","Agnes","Cuthbertson",,,,"Female",,0,0,,"P_JO_3539","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","LEM","12_06_02_12:18:40"
"A_EGD_1919","EGD",1919,"Margaret","Barclay","Margaret","Barclay",,,,"Female",,0,0,,"P_JO_3539","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","09_30_02_15:37:28"
"A_EGD_192","EGD",192,"Margaret","Mairtine","Margaret","Martin",,,,"Female",,0,0,,"P_ST_962","Dunfermline","Fife","Inverkeithing","NT",130,829,,,,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_14:16:00"
"A_EGD_1920","EGD",1920,"Jonnet","Douglas","Janet","Douglas",,,,"Female",,0,0,"Fisherrow","P_ST_967","Dalkeith","Edinburgh",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","09_30_02_16:23:30"
"A_EGD_1921","EGD",1921,"Katherine","Cruikshank","Katherine","Cruickshank",,,,"Female",,0,0,"Fisherrow","P_ST_967","Dalkeith","Edinburgh",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","09_30_02_16:22:55"
"A_EGD_1922","EGD",1922,"Agnes","Patersone","Agnes","Paterson",,,,"Female",,0,0,"Fisherrow","P_ST_967","Dalkeith","Edinburgh",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","09_30_02_16:21:44"
"A_EGD_1923","EGD",1923,"Bessie","Fouler","Elizabeth","Fowler",,,,"Female",,0,0,"Fisherrow","P_ST_967","Dalkeith","Edinburgh",,,,,,"Widowed",,,,"SMD","05_15_01_11:06:51","jhm","09_30_02_16:20:17"
"A_EGD_1924","EGD",1924,"Agnes","Aird","Agnes","Aird",,,,"Female",,0,0,"Saltpreston","P_ST_1359","Haddington","Haddington",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_11:20:42"
"A_EGD_1925","EGD",1925,"Jonnet","Gray","Janet","Gray",,,,"Female",,0,0,"Saltpreston","P_ST_1359","Haddington","Haddington",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_23_02_12:00:36"
